condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,best_corr_to_latent_probs,best_corr_to_latent_samples
encourage,2.43,1,0.00732421875,0.005859375,0.008624766471023289,0.234375,0.6089742271845336,0.75,0.84375,1.0256410256410255,0.13556303289986962,0.09054311411955392,0.11125433568785544
punish,2.43,1,0.0064697265625,0.005859375,0.00734757830889267,0.20703125,0.606048109908312,0.75,0.865234375,1.0095238095238095,0.0737402898739675,0.07494407653363779,0.08124886164239246
no_learning,2.43,2,0.0057373046875,0.00390625,0.009160154948610649,0.18359375,0.5167925937558873,0.625,0.8671875,1.0217391304347827,0.11631491755110149,0.08108660034939999,0.08234383603959664
encourage,2.43,2,0.0054931640625,0.00390625,0.007955201543032772,0.17578125,0.5003508290674029,0.625,0.87109375,1.0227272727272727,0.131424802653132,0.08039562272866856,0.0824117880986264
punish,2.43,2,0.006103515625,0.00390625,0.009274130817003212,0.1953125,0.5563355797931228,0.625,0.8671875,1.0204081632653061,0.08988040303058567,0.08212640704167445,0.08174435743990341
no_learning,2.43,3,0.00872802734375,0.009765625,0.00862455050361403,0.279296875,0.735618026298455,0.78125,0.84375,1.0070422535211268,0.1359991951191204,0.08163303878351952,0.09958838592679488
encourage,2.43,3,0.00921630859375,0.009765625,0.009744048123695757,0.294921875,0.7427603669061,0.78125,0.8203125,1.0134228187919463,0.17698071991891473,0.09049116870702127,0.11103613056723362
punish,2.43,3,0.0074462890625,0.0078125,0.007587040641240397,0.23828125,0.6831248391754157,0.78125,0.861328125,1.0082644628099173,0.09272772023859935,0.07571077445182929,0.08647461041882668
no_learning,2.43,4,0.00506591796875,0.005859375,0.005957418960711648,0.162109375,0.5183072694233696,0.65625,0.8828125,1.0121951219512195,0.06365424185310892,0.07699702414802062,0.08218029774106587
encourage,2.43,4,0.00555419921875,0.005859375,0.006941659024369092,0.177734375,0.55344477316473,0.65625,0.873046875,1.0224719101123596,0.0792707418745544,0.08269883562852841,0.08843405341554972
punish,2.43,4,0.00531005859375,0.0068359375,0.006445208461962173,0.169921875,0.5416568853033111,0.625,0.8828125,1.0116279069767442,0.05161421614729397,0.07722759702066176,0.07789693754180875
no_learning,2.43,5,0.00616455078125,0.0068359375,0.006022101049926573,0.197265625,0.5174233259076744,0.75,0.8515625,1.01,0.08943635506777126,0.07227889505777634,0.08673391931060953
encourage,2.43,5,0.00616455078125,0.0078125,0.005759015499823422,0.197265625,0.5059724777034412,0.75,0.84375,1.01,0.11585328870760311,0.07298979731704452,0.09974370382684179
punish,2.43,5,0.006103515625,0.005859375,0.006190782389211898,0.1953125,0.5311925520409242,0.75,0.857421875,1.0,0.07057896551111753,0.07243474722199227,0.083021535332984
no_learning,2.43,6,0.00592041015625,0.0048828125,0.007250349743398319,0.189453125,0.5459779193591389,0.75,0.859375,1.0210526315789474,0.07746459299278491,0.07572179629228637,0.10601420516311859
encourage,2.43,6,0.0072021484375,0.005859375,0.008835563564061314,0.23046875,0.5942509194552731,0.75,0.833984375,1.0260869565217392,0.12205420938170766,0.08308866610508706,0.1294539268163099
punish,2.43,6,0.0050048828125,0.00390625,0.005119681878786809,0.16015625,0.5207926416395853,0.75,0.8828125,1.0123456790123457,0.054018257709099085,0.07022506053986938,0.08573001813868326
no_learning,2.43,7,0.005859375,0.00390625,0.006605346317611662,0.1875,0.5590169943749475,0.8125,0.875,1.0212765957446808,0.0773964168364282,0.07688570872959787,0.0814399456456108
encourage,2.43,7,0.00701904296875,0.00390625,0.00892178669366376,0.224609375,0.578200876566362,0.84375,0.84375,1.0176991150442478,0.10377652480348443,0.07323223620307281,0.1060361097974215
punish,2.43,7,0.005615234375,0.0048828125,0.00641769503324947,0.1796875,0.5580881671776871,0.8125,0.884765625,1.0,0.05854222391586261,0.07306716547491846,0.07533932209566316
no_learning,2.43,8,0.00482177734375,0.005859375,0.005899609076754973,0.154296875,0.509308942946454,0.59375,0.890625,1.025974025974026,0.06867696729428814,0.08733900362250424,0.09286567766354578
encourage,2.43,8,0.006103515625,0.005859375,0.008382951520209667,0.1953125,0.5492693122173766,0.59375,0.857421875,1.0638297872340425,0.10172688374803344,0.10493323158495582,0.12374937103588719
